Starting Registration 
*************************************************
  N=128   NUMBER OF CORRECTIONS=5       INITIAL VALUES F= 1273.94   GNORM= 3136.76
*************************************************
   I   NFN    FUNC        GNORM       STEPLENGTH
   1    3      1012.672    2410.607       0.000
   2    4       916.125    2477.439       1.500
   3    5       887.286    2004.738       1.500
   4    6       842.061     873.135       1.500
   5    7       822.879     707.610       1.500
   6    9       791.713     647.686       0.789
   7   10       775.086     894.312       1.500
   8   11       762.383     915.051       1.500
   9   12       750.284     595.607       1.500
  10   13       741.189     574.639       1.500
  11   15       732.210     709.606       0.560
  12   16       729.693    1571.109       1.500
  13   17       711.979     842.683       1.500
  14   18       706.922     411.403       1.500
  15   19       702.087     569.323       1.500
  16   21       695.091     721.134       0.777
  17   22       685.187     444.586       1.500
  18   24       676.872     545.123       0.731
  19   25       672.132    1058.783       1.500
  20   26       664.153     454.235       1.500
  21   27       661.237     246.192       1.500
  22   28       658.114     332.736       1.500
  23   30       655.772     488.465       0.270
  24   31       652.556     292.937       1.500
  25   32       648.898     290.044       1.500
  26   33       646.602     149.746       1.500
  27   34       644.535     253.594       1.500
  28   35       644.283     722.514       1.500
  29   36       641.732     222.475       1.500
  30   37       639.876     255.893       1.500
  31   38       635.305     611.492       1.500
  32   39       633.282     695.462       1.500
  33   40       631.280     272.855       1.500
  34   41       627.068     179.018       1.500
  35   42       624.773     225.837       1.500
  36   44       623.523     297.596       0.561
  37   46       622.539     215.532       0.638
  38   47       621.925     233.786       1.500
  39   49       621.038     311.556       0.561
  40   51       620.122     156.926       0.606
  41   52       619.047     201.449       1.500
  42   53       617.832     453.928       1.500
  43   54       617.523     337.398       1.500
  44   55       615.352     250.188       1.500
  45   56       613.398     320.968       1.500
  46   58       611.726     436.888       0.192
  47   60       610.318     370.666       0.313
  48   61       607.675     359.648       1.500
  49   62       605.411     363.790       1.500
  50   63       602.821     275.259       1.500
  51   64       601.239     317.443       1.500
  52   65       600.136     162.511       1.500
  53   66       598.017     380.214       1.500
  54   67       595.791     265.099       1.500
  55   68       593.426     656.910       1.500
  56   69       591.704     578.438       1.500
  57   70       590.184     217.214       1.500
  58   71       588.914     241.543       1.500
  59   73       586.448     263.957       0.618
  60   75       585.687     242.968       0.521
  61   76       584.063     229.785       1.500
  62   78       583.060     220.639       0.447
  63   79       582.226     177.232       1.500
  64   80       582.223     362.703       1.500
  65   81       581.070     193.642       1.500
  66   82       580.438     204.228       1.500
  67   83       579.495     257.208       1.500
  68   85       579.118     184.782       0.481
  69   86       578.212     237.515       1.500
  70   87       576.878     291.926       1.500
  71   89       576.220     229.418       0.361
  72   90       574.377     287.945       1.500
  73   91       573.664     338.068       1.500
  74   92       573.001     141.828       1.500
  75   93       572.551     149.728       1.500
  76   94       571.338     259.870       1.500
  77   96       570.530     227.268       0.731
  78   97       569.895     179.593       1.500
  79   98       569.189     155.601       1.500
  80  100       568.897     118.783       0.433
  81  101       568.788     175.941       1.500
  82  102       568.361     418.954       1.500
  83  103       567.174     171.241       1.500
  84  104       566.100     218.899       1.500
  85  105       565.266     301.593       1.500
  86  107       564.589     189.422       0.632
  87  108       563.900     150.310       1.500
  88  109       563.576     160.918       1.500
  89  111       563.389     131.898       0.522
  90  112       562.941     200.876       1.500
  91  113       562.072     189.414       1.500
  92  115       561.453     140.934       0.423
  93  116       560.901     200.415       1.500
  94  118       560.305     270.889       0.547
  95  119       559.027     230.015       1.500
  96  121       558.501     203.737       0.569
  97  122       557.748     192.826       1.500
  98  123       556.873     294.729       1.500
  99  124       555.841     163.976       1.500
 100  125       555.641     160.334       1.500
 101  126       555.355     114.658       1.500
 102  127       554.969     119.029       1.500
